Polish,English
wrócimy,we will come back
pić,drink
ruchy,movements
widok,view
miałby,would have
faceci,guys
interesuje,interest
punkt,point
prowadzić,to lead
zmieniło,changed
lubią,they like
jerry,Jerry
umysł,mind
udowodnić,prove
zabiorę,I'll take
mówili,they said
drugiego,second
szans,chances
powiedzmy,let's say
potrzebne,necessary
zobaczyłem,I saw
umowę,contract
b,b
wraz,with
liceum,high school
różnica,difference
minęło,passed by
następnego,next
bronią,weapon
lepszego,better
rzuć,throw
znaczenie,meaning
żadna,none
musze,I have to
mogłaś,you could
firma,business
słyszeć,to hear
państwo,country
f,f
potrzeby,need
mecz,game
danych,data
dostęp,access
naprzód,forward
nóż,knife
córką,daughter
bawić,entertain
sprawą,thing
mark,brand
bierze,he takes
rękach,hands
miliony,millions
zachować,keep
ubrania,Clothes
jasna,bright
pozwoli,will allow
znaczyć,mean
żadne,none
wychodzę,I leave
zasadzie,principle
akta,files
metrów,meters
woli,will
kyle,kyle
pełne,full
gliny,clay
przypomina,reminds
równie,as
żegnaj,say goodbye
czułem,I felt
celem,purpose
musiało,must
dziwnego,strange
czarny,black
mojemu,mine
jazda,ride
san,san
oczu,eyes
grupy,groups
usta,mouth
dobrych,good
słońca,sun
ataku,attack
swoimi,his own
sklepu,store
spróbuję,I will try
dupę,ass
grace,grace
daleka,distant
claire,claire
sumie,sum
milion,million
znalazła,found
dzwoni,is calling
domem,home
napisy24.pl,subtitles24.pl
pański,your
stracił,he lost
własny,own
zajmuje,deals
mamie,mother
wspaniała,great
szkodzi,is harmful
złym,bad
żył,vein
andy,Andy
zabójca,killer
odnaleźć,find
słyszałaś,You heard
staje,stands
auta,cars
odszedł,he left
sprzedać,sell
pytam,I'm asking
szefa,boss
pomocą,help
byłaby,would be
ładne,nice
warte,worth
ufać,trust
gdybyśmy,if we
porozmawiamy,we'll talk
wujek,uncle
kod,code
proces,process
osobę,person
zaczęła,She began
nadchodzi,is coming
biały,white
sierżancie,sergeant
stop,Stop
zostali,stayed
upewnić,make sure
idą,They go
pięciu,five
zaczniemy,we will start
podróży,traveling
wyszło,came out
ufam,I trust
spytać,ask
siostrę,sister
dostałam,I got
facetów,guys
znacznie,significantly
powietrze,air
trwa,takes
czasy,times
zobaczy,see
ledwo,barely
akcji,actions
pojechać,go
nieba,skies
założyć,assume
winy,guilt
zmienił,changed
waszym,yours
ziemia,earth
zamknięte,closed
daję,gives
ah,ah
brian,brian
restauracji,restaurant
pochodzi,comes
próbujesz,you are trying
kłopotów,trouble
umiera,dies
czterech,four
wracamy,We are coming back
małym,small
miały,had
pete,pete
musiałeś,you had to
parku,park
możliwość,possibility
drogą,road
energii,energy
poznałem,I met
próbowałam,I tried
spędzić,spend
mężczyźni,men
wiary,faith
ku,to
mogłaby,she could
usa,USA
budynek,building
przyjdę,I will come
wróciłem,I came back
żyję,lives
łódź,Łódź
łatwe,easy
winny,guilty
przyszłam,I came
mil,mile
dokumenty,documents
strzelać,shoot
wynocha,get out
przeszkadza,disturb
duża,big
czasów,times
kontrolę,control
dałeś,you gave
barze,bar
zamian,change
matko,mother
mogliśmy,we could
zadzwonił,he called
studia,studies
stacji,station
annie,Annie
własnym,own
znajduje,finds
czyżby,do
dave,dave
przejmuj,take over
język,tongue
nazywają,name
wyglądało,it looked
przekazać,to pass
sądu,court
robiłem,I did
waszą,yours
skończył,finished
pułkowniku,colonel
park,Park
najszybciej,fastest
kwiaty,flowers
kontroli,control
babcia,grandmother
walka,fight
doktora,doctor
jedziesz,you are driving
posłuchać,listen
sercu,heart
najważniejsze,most important
zostawię,I will leave
cia,wagon
mogłoby,could
dupy,ass
skrzywdzić,hurt
przeprosić,apologize
sądziłem,I thought
wierzy,believes
klientów,clients
bezpiecznie,safely
dotykaj,touch
bólu,pain
ducha,ghost
wolności,freedom
leo,leo
układ,system
zabij,kill
seksu,sex
pamięta,he remembers
pewność,confidence
luke,luke
ocalić,save
zacząłem,I started
pamięć,memory
cenę,price
opowiedz,tell
jakiejś,some
móc,power
teren,area
sklep,store
konia,horse
następnie,next
poprzez,by
niedaleko,near
zdarza,happens
uczyć,teach
stanu,state
śpi,sleeps
obudź,whack
napisał,he wrote
dostałeś,you got
lucy,Lucy
prawdziwą,true
strach,fear
umiesz,you can
interesy,interests
wszystkimi,all
silny,strong
prosze,Please
bank,bank
wyobrazić,imagine
potrzebna,needed
moge,I can
przyjaciółka,friend
zmęczony,tired
bezpieczna,secure
potrzebować,need
klubu,club
niezbyt,not very
komputer,computer
nieprawdaż,untruth
impreza,party
charles,charles
wróć,come back
byliście,you were
najlepszą,best
siłę,strength
pociąg,train
szkoła,school
przeszłość,past
normalnie,normally
okazało,It turned out
oczywiste,obvious
bezpieczny,safe
wyjechać,to leave
zero,zero
następne,next
gościem,guest
czekajcie,Wait
pistolet,gun
wiedziałaś,you knew
zapach,smell
używać,use
doszło,occurred
drużyny,teams
dan,dan
waszych,yours
wyluzuj,relax
idealnie,perfectly
tatuś,daddy
biorąc,taking
łatwiej,easier
pieprzyć,fuck
gwiazdy,stars
znaleziono,found
liczyć,to count
wątpliwości,doubt
ukryć,hide
wymaga,requires
kamery,cameras
carter,carter
trakcie,during
powrót,return
wyglądał,He looked
alarm,alarm
filmu,film
głęboko,deep
ręki,hand
czyni,does
zechcesz,you want
udawać,to pretend
planu,plan
siostro,sister
czytać,to read
chicago,Chicago
jutra,tomorrow
problemem,problem
śmieci,garbage
eric,Eric
dzwonię,I'm calling
byłbym,I would be
duch,spirit
przyjechał,he came
clark,clark
rozmowa,conversation
narkotyki,drugs
matt,matt
cholernie,damned
kevin,Kevin
new,New
zostaną,will stay
ryzyko,risk
strzał,shot
sto,hundred
wyjdziesz,you will leave
cos,something
wykorzystać,to use
dziadek,grandpa
długa,long
wóz,car
szlag,damn
kompletnie,totally
pomógł,he helped
wolność,freedom
daniel,daniel
scott,Scott
nawzajem,mutually
czekają,they are waiting
kelly,kelly
pamięci,memory
powinniście,you should
jesli,if
nr,number
prezydenta,president
tęsknię,I miss
najlepszych,the best
przyniosę,I will bring
śledztwo,investigation
wyciągnąć,pull out
mieszkam,I live
wspomnienia,memories
którymi,which
tygodnia,week
boi,buoyant
pojawił,appeared
rozkazy,orders
łodzi,boat
zmiana,change
psy,dogs
zajęcia,classes
samobójstwo,suicide
potrwa,will last
bycia,being
bierzesz,take
starego,old
tamtego,that
wolne,free
towar,commodity
sytuację,situation
adam,Adam
głową,head
zadowolony,happy
pewnym,certain
normalne,normal
pieprzony,fucked
fajne,nice
jakich,what
ładny,pretty
gdziekolwiek,anywhere
zabiła,she killed
północy,north
przynieść,bring
that,that
żebyście,that you
martin,Martin
podobnie,similarly
spadaj,get lost
piątek,Friday
ciężkie,heavy
większe,bigger
okoliczności,circumstances
mego,my
waszego,yours
słodki,sweet
sztuki,art
wsparcie,support
gorąco,hot
napisów,inscriptions
okazję,opportunity
zaczekać,wait
odpowiada,corresponds to
dajesz,you give
leki,anxieties
cisza,silence
przyjaciółką,friend
będąc,being
niebo,sky
chcieliśmy,We wanted
chora,sick
pełni,full
kochana,dear
rose,rose
pokładzie,deck
siostrą,sister
wino,wine
spotkałem,I met
larry,larry
napisać,write
kotku,Kitty
dziewczyn,girls
punkcie,point
ofiar,victims
czasach,time
dziwny,weird
badań,research
napisane,written
poradzić,help
minutę,minute
trzymasz,you hold
połowę,half
konieczne,necessary
chłopakiem,boy
stóp,Stop
tatą,dad
zadać,demand
podejdź,approach
mieszkaniu,apartment
susan,Susan
wchodzi,enters
detektywie,detective
sklepie,shop
patrzysz,you look
państwa,countries
duszę,soul
poszedłem,I went
zabrali,took
projekt,design
jenny,Jenny
najmniej,least
poważne,serious
czynienia,dealing
trzeci,third
angeles,Angeles
sekret,secret
kolejną,next
jestes,Are you
klucze,keys
ranny,injured
kolejna,next
zęby,teeth
kwestia,issue
mając,having
zobaczył,he saw
pańskie,Lord
umowa,arrangement
moze,maybe
wyjdę,I will leave
mieszkać,to live
pozwala,allows
odciski,prints
czysto,purely
bezpieczne,secure
stała,constant
zmarła,died
twoimi,yours
abby,abby
obecnie,Nowadays
pierdol,fart
powinny,should
powodów,reasons
wujku,uncle
zrobienia,making
zapomniałam,I forgot
patrzę,I'm looking
zamiaru,intention
południe,south
stole,table
lisa,fox
ukradł,stolen
wróciłeś,you came back
wybaczcie,Forgive
joey,Joey
czułam,I felt
jazdy,driving
samych,alone
armii,army
km,km
zeszłej,last
działo,gun
alice,Alice
umarła,died
wieczoru,evening
wydawało,It seemed
kieszeni,pocket
piłkę,ball
misji,mission
pokonać,defeat
działania,actions
czekamy,we are waiting
znał,he knew
dowiemy,we will find out
skończyliśmy,We finished
setki,hundreds
świąt,world
ciśnienie,pressure
dziewczynki,girls
wysłał,sent
spodnie,pants
gadasz,you talk
kartę,card
nosić,to wear
nos,nose
pole,field
przypuszczam,I suppose
faktycznie,really
piosenkę,song
zacznij,start
karen,Karen
dupek,asshole
zdjęć,photos
zabili,killed
maggie,Maggie
nadszedł,came
czysty,clear
dzieciaka,kid
kłamstwo,lie
show,show
mistrzu,master
żałuję,I regret
zrobią,they will do
poczucie,sense
jason,Jason
akt,Act
street,street
oby,may
kościoła,church
nakaz,warrant
obejrzeć,see
ted,ted
nagranie,recording
pozwolisz,you will let
narkotyków,drugs
łączy,connects
jasno,brightly
słodkie,sweet
zrobione,done
zwierzęta,Animals
pijany,drunk
łeb,head
żartuję,kidding
gejem,gay
kolor,color
królem,king
zajęta,busy
zachowanie,behavior
muzykę,music
kontrolować,control
pańska,Lord
mężczyznę,man
nogę,leg
kupiłem,I bought
chłopcem,boy
cholerny,damn
ruchu,movement
klient,client
mieszkasz,you live
dzwoń,bell
sąd,court
przyszłym,future
sprzęt,equipment
van,van
zabija,kills
nagrodę,award
pisze,writes
straciliśmy,We lost
przyjąć,accept
zostałeś,You stayed
patrzy,looks
robert,Robert
ryby,fishes
odpowiedzialny,responsible
robiłeś,did you
dotrzeć,arrive
rzeczywistości,reality
sieci,network
pospiesz,hurry
boku,side
dużą,big
udać,pretend
bój,funk
generale,general
plaży,beach
lot,flight
przyszłaś,you came
trzymam,I keep
pojadę,I will go
bilety,tickets
vegas,vegas
zagrać,play
prawdziwego,real
radio,radio
doprawdy,really
biznes,business
szacunku,respect
paru,a few
chwilą,moment
podobało,like
pisać,write
operację,operations
rzucić,throw
klasie,class
umrę,I will die
przyda,useful
nosi,wears
powietrza,air
klubie,club
pamiętać,remember
pogadamy,we'll talk
troszkę,a bit
drzwiami,door
tatusiu,daddy
pragnę,I would like to
dźwięk,sound
przedstawić,present
chłopców,boys
sądzi,thinks
zacznę,I'll start
zabierzcie,take
matce,mother
n,n
mylisz,you are wrong
szczery,honest
pracowałem,I worked
oddech,breath
połóż,put
prawdą,true
plecy,back
niedawno,recently
wyjątkiem,exception
używa,use
znajdą,will find
walter,Walter
hotel,hotel
molly,molly
imienia,names
brawo,way to go
pełen,full
ślubu,wedding
odpowiedzieć,reply
porucznik,lieutenant
połączenie,connection
darmo,free
bracia,brethren
rąk,cancer
strachu,fear
sean,sean
bzdury,nonsense
wiatr,wind
muzyki,music
przyjdź,come
odeszła,has gone
małej,small
wojnie,war
ameryki,America
północ,North
znacie,you know
alan,Alan
bohaterem,hero
biegnij,run
romans,Romance
przerwę,break
rozmawiamy,We talk
piwnicy,basement
sprawiedliwości,justice
przyjemnością,pleasure
czerwony,red
uśmiech,smile
bedzie,will be
bomba,bomb
sił,strength
wsiadaj,get on
anglii,England
witajcie,Hello
zmęczona,tired
robiła,she did
napić,drink
ręka,hand
zauważyłem,I noticed
kupił,bought
słyszał,he heard
zakończyć,end
bar,bar
życzę,wish
pełna,full
książę,prince
ważny,important
wchodzę,I enter
niebie,sky
systemu,system
zamierza,intends
zbliża,is approaching
okres,period
biedny,poor
kapitana,captain
zabijać,kill
przypadkiem,by chance
nadziei,hope
wybierasz,you choose
ciężki,heavy
zapytaj,ask
wszedł,entered
zaszczyt,honor
ostatniego,last
lesie,Forest
okropnie,terribly
wakacje,holidays
aresztowany,arrested
głosy,voices
widzieliście,you saw
lewej,left
skomplikowane,complicated
gary,gary
tajemnicy,secret
szkołę,School
zespołu,team
uważać,consider
chciałabyś,You would like
programu,program
duszy,soul
połowa,half
książka,book
stopy,feet
odpocząć,to rest
ramię,arm
przygotuj,prepare
julie,Julie
przeżyć,survive
kolacji,dinner
skończyła,she ended
niedobrze,not good
kontynuować,to continue
skończyło,is over
znieść,bear
interesujące,interesting
taylor,Taylor
wpaść,drop
szpital,hospital
zasługuje,deserves
własnych,own
miecz,sword
pracujemy,We work
rolę,role
zabiją,kills
dotyczy,refers to
poprosić,ask
ofiarą,victim
pozycji,position
zginąć,die
prysznic,shower
łóżko,bed
sprawić,make
rozmawiałam,I was talking
zakupy,shopping
grze,game
zejdź,go down
gówna,shit
dumna,proud
żołnierzy,soldiers
sędzia,judge
city,city
obrony,defense
próba,attempt
wpadł,he fell
wroga,enemy
dostała,she got
wierz,believe
zostawiła,left
rozwiązanie,solution
miejsc,places
kochał,he loved
pełno,full
carl,Carl
tylu,so many
zadziała,will work
jezus,Jesus
wolałbym,I would rather
wielkiej,great
idiota,idiot
raka,cancer
zasad,principles
południu,south
klub,club
kłamiesz,you lie
kurde,damn
chwile,moments
piekła,hell
chuck,chuck
sensie,meaning
zajmij,take over
kawał,piece
lily,Lily
śladów,traces
powtarzam,I repeat
thomas,Thomas
najgorsze,the worst
zdarzyło,happened
środek,center
zdaniem,in mind
klienta,client
zostawcie,leave
funtów,pounds
wstyd,shame
lady,counter
wziąłem,I took
stworzyć,create
kłamie,lies
planety,planets
morderca,murderer
przeze,by
aha,I see
odnośnie,with regard
para,couple
ciele,calf
połowie,half
filmie,film
bazy,database
czyste,clear
jeff,Jeff
wymiar,dimension
świadków,witnesses
dowiem,I will find out
władzy,power
amen,Amen
chloe,chloe
wysoko,high
rachunek,bill
sypialni,bedroom
dosłownie,literally
piekło,hell
mężczyzny,man
cudowne,wonderful
czekał,was waiting
gratuluję,congratulations
pozwólcie,let me
załatwię,I will arrange
helen,Helen
włosów,hair
potrafią,they can do
josh,Josh
dotąd,so far
przystojny,handsome
simon,Simon
głównie,mainly
dupku,asshole
hank,hank
niewinny,innocent
swojemu,your own
piersi,breasts
oddział,branch
złą,bad
słuchasz,you are listening
komórki,cells
starszy,older
okiem,eye
firmę,company
smith,smith
kurs,course
lois,Lois
pomyłka,mistake
znalazłaś,you found
ust,mouth
prawej,right
bilet,ticket
stanów,states
pomimo,despite
starym,old
drużyna,team
sukces,success
bronić,defend
łazienki,bathrooms
ważna,important
szansy,chances
decyzji,decision
świadka,witness
dali,give
litość,mercy
musieliśmy,We had to
przeznaczenie,destiny
jackie,Jackie
dowiedział,he found out
pyta,asks
tv,tv
strona,side
nareszcie,at last
niemal,almost
szukają,are looking
postawić,put
pracą,job
anna,Anna
operacja,operation
starych,old
dostaje,gets
rada,advice
cofnąć,back
herbaty,teas
mowa,speech
poprzednio,previously
ono,it
piosenka,song
kamień,stone
trzymał,held
złota,gold
zostawiłem,I left
francji,France
dzwonić,call
miej,have
spotkaliśmy,We met
wolna,Free
specjalnie,especially
pacjentów,patients
samochodem,by car
samolotu,aircraft
zakładam,I assume
szalone,crazy
przyjdziesz,will you come
szukałem,I was looking
jednostki,units
zwrócić,return
dwaj,two
siedział,sat
szczegóły,details
kolana,knees
marzenia,dreams
miesiącu,month
praktycznie,practically
królowa,queen
odwiedzić,visit
sa,are
ed,ED
grasz,you play
ważnego,important
punktu,point
umie,can
al,AL
uderzył,hit
przerwy,break
zapomniałeś,You forgot
żonie,wife
porze,time
goście,guests
krwią,blood
strzelaj,shoot
poprostu,just
skończę,I will finish
baru,bar
większy,greater
położyć,put
zdrowia,health
rzeczach,things
sprawach,cases
nienawidzi,hates
znałem,I knew
zabawny,funny
żonaty,married
przesłuchanie,hearing
przyszło,it came
widzieli,they saw
ruszamy,We start
wykonać,perform
prędzej,sooner
zaczynasz,you start
usłyszałem,I heard
spod,bottom
byc,to be
dookoła,around
odpowiedz,response
skupić,focus
dyrektor,director
królową,Queen
las,forest
tysiąc,thousand
wodą,water
drzewa,trees
okna,windows
odrobinę,a bit
piwa,beer
bezpieczeństwo,security
wdzięczny,grateful
zabieraj,take
oficjalnie,officially
mądry,clever
phil,phil
brakowało,lacked
dziewięć,nine
przenieść,move
typu,type
bogiem,God
rozmawiał,he talked
filmy,movies
jackson,Jackson
terry,Terry
immunitet,immunity
cud,miracle
wywiad,interview
odsuń,move away
zajmiemy,we will take
palców,fingers
martwa,dead
znają,know
forsę,poverty
święty,holy
meksyku,Mexico
poznałam,I met
ludzkie,human
umieram,I'm dying
mogły,they could
czekałem,I waited
gliną,clay
wszelkie,all
wiecznie,eternally
doświadczenie,experience
walkę,fight
cudem,miracle
zabójstwo,murder
tatę,dad
twego,Your
miejmy,Let's have
poprosił,he asked
istnieją,they exist
dupie,ass
prosił,asked
oddam,I will give
świadkiem,witness
opowiedzieć,tell
tańczyć,dance
profesorze,professor
miejscach,places
zastanawiałem,I wondered
swe,its
polega,depends
naszymi,ours
zabijesz,you will kill
opieki,care
dachu,roof
pozostać,stay
zegarek,watch
twarzą,face
bać,scorch
zapłacę,I will pay
gorsze,worse
pojedziemy,we will go
